Date_Time,Active_Power
2025-01-01 00:00:38,0,0
2025-01-01 00:01:38,0,0
2025-01-01 00:02:38,0,0
2025-01-01 00:03:38,0,0
2025-01-01 00:04:38,0,0
2025-01-01 00:05:39,0,0
2025-01-01 00:06:39,0,
2025-01-01 00:07:38,0,0
2025-01-01 00:07:38,0,0
2025-01-01 00:08:38,0,0
2025-01-01 00:09:39,0,0
2025-01-01 00:10:38,0,0
2025-01-01 00:11:38,0,0
2025-01-01 00:12:38,0,0
2025-01-01 00:13:39,0,0
2025-01-01 00:14:38,0,0
2025-01-01 00:15:38,0,0
2025-01-01 00:16:38,0,0
2025-01-01 00:17:39,0,0
2025-01-01 00:18:37,0,
2025-01-01 00:19:38,0,0
2025-01-01 00:19:38,0,0
2025-01-01 00:20:39,0,0
2025-01-01 00:21:39,0,0
2025-01-01 00:22:38,0,0
2025-01-01 00:23:38,0,0
2025-01-01 00:24:38,0,0
2025-01-01 00:25:38,0,
2025-01-01 00:26:38,0,0
2025-01-01 00:26:38,0,0
2025-01-01 00:27:39,0,0
2025-01-01 00:28:38,0,
2025-01-01 00:29:38,0,0
2025-01-01 00:29:38,0,0
2025-01-01 00:30:39,0,0
2025-01-01 00:31:38,0,
2025-01-01 00:32:38,0,0
2025-01-01 00:32:38,0,0
2025-01-01 00:33:38,0,0
2025-01-01 00:34:38,0,0
2025-01-01 00:35:39,0,0
2025-01-01 00:36:37,0,
2025-01-01 00:37:38,0,0
2025-01-01 00:37:38,0,0
2025-01-01 00:38:39,0,0
2025-01-01 00:39:38,0,
2025-01-01 00:40:37,0,0
2025-01-01 00:40:37,0,0
2025-01-01 00:41:39,0,0
2025-01-01 00:42:38,0,
2025-01-01 00:43:39,0,0
2025-01-01 00:43:39,0,0
2025-01-01 00:44:38,0,0
2025-01-01 00:45:38,0,0
2025-01-01 00:46:38,0,0
2025-01-01 00:47:39,0,0
2025-01-01 00:48:38,0,0
2025-01-01 00:49:39,0,0
2025-01-01 00:50:38,0,0
2025-01-01 00:51:37,0,0
2025-01-01 00:52:39,0,0
2025-01-01 00:53:38,0,0
2025-01-01 00:54:38,0,0
2025-01-01 00:55:38,0,0
2025-01-01 00:56:38,0,0
2025-01-01 00:57:38,0,0
